year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1978,M01,41.7,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000007,U,1972,M01,2015,October,33
1981,October,191.23,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1755
1976,M01,41.0,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000007,U,1972,M01,2015,October,35
1981,August,221.91,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1757
1974,M01,41.5,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000007,U,1972,M01,2015,October,37
1981,June,183.14,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1759
1972,M01,41.2,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000007,U,1972,M01,2015,October,39
1988,M01,613.31,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,41
1981,March,180.62,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1762
1986,M01,580.59,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,43
1985,M01,551.15,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,44
1980,Annual Average,175.97,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1764
1983,M01,495.71,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,46
1980,November,176.47,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1766
1981,M01,423.12,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,48
1980,September,173.35,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1768
1979,M01,371.23,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,50
1980,July,203.91,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1770
1977,M01,315.75,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,52
1980,May,177.45,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1772
1975,M01,272.65,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,54
1980,March,169.33,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1774
1973,M01,241.70,,,Utilities,Utilities,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4422000030,U,1972,M01,2015,October,56
1979,Annual Average,159.71,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1776
1989,M01,32.2,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,58
1979,November,163.32,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1778
1987,M01,30.9,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,60
1979,September,166.47,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1780
1985,M01,30.3,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,62
1979,July,183.09,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1782
1979,June,159.24,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1783
1983,M01,30.2,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,64
1979,April,138.23,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1785
1981,M01,30.4,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,66
1979,February,150.92,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1787
1979,M01,30.6,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,68
1978,December,154.92,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1789
1977,M01,30.3,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,70
1978,October,152.79,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1791
1978,September,149.30,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1792
1974,M01,29.8,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540007,U,1972,M01,2015,September,73
